"Woonplaatsen in Nederland 2015"
"Onderwerpen";"Woonplaatscode";"Gemeente";"Gemeente";"Provincie";"Provincie";"Landsdeel";"Landsdeel"
"Aldeboarn";"2532";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Aldtsjerk";"2441";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Alem";"1623";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Alkmaar";"2348";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Allingawier";"2301";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Almelo";"1924";"Almelo";"GM0141";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Almen";"1334";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Almere";"1270";"Almere";"GM0034";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Almkerk";"3300";"Woudrichem";"GM0874";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Alphen";"1766";"West Maas en Waal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Alphen";"3432";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Alphen aan den Rijn";"1080";"Alphen aan den Rijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Alteveer";"1633";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Alteveer";"3079";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Alteveer";"3160";"De Wolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Alteveer gem Hoogeveen";"1810";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Altforst";"1767";"West Maas en Waal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ambt Delden";"1438";"Hof van Twente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Ameide";"2106";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Amen";"1147";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"America";"1026";"Horst aan de Maas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Amerongen";"3337";"Utrechtse Heuvelrug";"GM1581";"Utrecht";"PV26";"West-Nederland";"LD03"
"Amersfoort";"1664";"Amersfoort";"GM0307";"Utrecht";"PV26";"West-Nederland";"LD03"
"Ammerstol";"2367";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Ammerzoden";"1624";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Amstelhoek";"3547";"De Ronde Venen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Amstelveen";"1050";"Amstelveen";"GM0362";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Amstenrade";"2099";"Schinnen";"GM0962";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Amsterdam";"3594";"Amsterdam";"GM0363";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Amsterdam-Duivendrecht";"3569";"Ouder-Amstel";"GM0437";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Andel";"3301";"Woudrichem";"GM0874";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Den Andel";"2466";"Winsum";"GM0053";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Andelst";"1862";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Anderen";"1148";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Andijk";"1053";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Ane";"1537";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Anerveen";"1538";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Anevelde";"1539";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Angeren";"3133";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Angerlo";"1299";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Anjum";"3388";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ankeveen";"2999";"Wijdemeren";"GM1696";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Anloo";"1149";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Anna Paulowna";"3185";"Hollands Kroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Annen";"1150";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Annerveenschekanaal";"1151";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ansen";"3104";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ansen";"3161";"De Wolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ter Apel";"2296";"Vlagtwedde";"GM0048";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Apeldoorn";"3560";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ter Apelkanaal";"2297";"Vlagtwedde";"GM0048";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Appelscha";"1753";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Appeltern";"1768";"West Maas en Waal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Appingedam";"3386";"Appingedam";"GM0003";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Arcen";"3140";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Arkel";"1432";"Giessenlanden";"GM0689";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Arnemuiden";"1008";"Middelburg";"GM0687";"Zeeland";"PV29";"West-Nederland";"LD03"
"Arnhem";"1296";"Arnhem";"GM0202";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Arriën";"2547";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Arum";"2302";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Asch";"3370";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Asperen";"2353";"Lingewaal";"GM0733";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Assen";"2391";"Assen";"GM0106";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Assendelft";"1878";"Zaanstad";"GM0479";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Asten";"2928";"Asten";"GM0743";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Augsbuurt";"3307";"Kollumerland en Nieuwkruisland";"GM0079";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Augustinusga";"3173";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Austerlitz";"2824";"Zeist";"GM0355";"Utrecht";"PV26";"West-Nederland";"LD03"
"Avenhorn";"1183";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Axel";"1128";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Azewijn";"2202";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Baaiduinen";"2621";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baaium";"2008";"Littenseradiel";"GM0140";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baak";"1527";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Baambrugge";"1333";"De Ronde Venen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Baard";"2009";"Littenseradiel";"GM0140";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baarland";"1251";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Baarle-Nassau";"2883";"Baarle-Nassau";"GM0744";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Baarlo";"2602";"Peel en Maas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Baarlo";"2691";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Baarn";"1092";"Baarn";"GM0308";"Utrecht";"PV26";"West-Nederland";"LD03"
"Baars";"2692";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Babberich";"1298";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Babyloniënbroek";"1951";"Aalburg";"GM0738";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bad Nieuweschans";"1420";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Badhoevedorp";"1617";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Baexem";"2940";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Baflo";"2465";"Winsum";"GM0053";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Bakel";"2090";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bakhuizen";"1673";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bakkeveen";"3342";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Balgoij";"2570";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Balinge";"3005";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Balk";"1674";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Balkbrug";"1540";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Balloërveld";"1153";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Balloo";"1152";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ballum";"2587";"Ameland";"GM0060";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baneheide";"3067";"Simpelveld";"GM0965";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Banholt";"1690";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bant";"1272";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Bantega";"2239";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Barchem";"1335";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Barendrecht";"1594";"Barendrecht";"GM0489";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Barger-Compascuum";"1987";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Barneveld";"3597";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Barsingerhorn";"2514";"Hollands Kroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Basse";"2693";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Batenburg";"2568";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Bathmen";"2854";"Deventer";"GM0150";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bavel";"1703";"Breda";"GM0758";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bavel AC";"3437";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bears";"2010";"Littenseradiel";"GM0140";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bedum";"2829";"Bedum";"GM0005";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Beegden";"1918";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beek";"2203";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beek";"1670";"Beek";"GM0888";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beek";"2872";"Groesbeek";"GM0241";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beek en Donk";"1446";"Laarbeek";"GM1659";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beekbergen";"2258";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beemte Broekland";"2254";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beers NB";"1449";"Cuijk";"GM1684";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beerta";"3508";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Beerze";"2548";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Beerzerveld";"2549";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Beesd";"3213";"Geldermalsen";"GM0236";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beesel";"1950";"Beesel";"GM0889";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beets";"1837";"Zeevang";"GM0478";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Beetsterzwaag";"3343";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Beilen";"3006";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Beinsdorp";"1610";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Belfeld";"1476";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bellingwolde";"2231";"Bellingwedde";"GM0007";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Beltrum";"1661";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Belt-Schutsloot";"2694";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bemelen";"1691";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bemmel";"3131";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beneden-Leeuwen";"1769";"West Maas en Waal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Bennebroek";"3533";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Bennekom";"2766";"Ede";"GM0228";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Benneveld";"2146";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Benningbroek";"3148";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Benschop";"1958";"Lopik";"GM0331";"Utrecht";"PV26";"West-Nederland";"LD03"
"Bentelo";"1439";"Hof van Twente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Benthuizen";"2853";"Alphen aan den Rijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bentveld";"1306";"Zandvoort";"GM0473";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Berg en Dal";"2873";"Groesbeek";"GM0241";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Berg en Terblijt";"1716";"Valkenburg aan de Geul";"GM0994";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bergambacht";"2365";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bergeijk";"1457";"Bergeijk";"GM1724";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bergen (NH)";"3047";"Bergen (NH.)";"GM0373";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Bergen aan Zee";"3046";"Bergen (NH.)";"GM0373";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Bergen L";"1121";"Bergen (L.)";"GM0893";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bergen op Zoom";"1937";"Bergen op Zoom";"GM0748";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bergentheim";"1541";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bergharen";"2565";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Berghem";"3250";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bergschenhoek";"1688";"Lansingerland";"GM1621";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Beringe";"3438";"Peel en Maas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Berkel en Rodenrijs";"1687";"Lansingerland";"GM1621";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Berkel-Enschot";"1044";"Tilburg";"GM0855";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Berkenwoude";"2366";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Berkhout";"1184";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Berlicum";"2057";"Sint-Michielsgestel";"GM0845";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Berltsum";"2724";"Menameradiel";"GM1908";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bern";"2627";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Best";"1456";"Best";"GM0753";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beugen";"1214";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beuningen";"1711";"Losser";"GM0168";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Beuningen Gld";"2751";"Beuningen";"GM0209";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beusichem";"3371";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beutenaken";"1230";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beverwijk";"2735";"Beverwijk";"GM0375";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Biddinghuizen";"2429";"Dronten";"GM0303";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Bierum";"3232";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Biervliet";"2975";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Biervliet";"1129";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Biest-Houtakker";"1309";"Hilvarenbeek";"GM0798";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Biezenmortel";"1425";"Haaren";"GM0788";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Biggekerke";"2775";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"De Bilt";"2934";"De Bilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Bilthoven";"2935";"De Bilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Bingelrade";"2845";"Onderbanken";"GM0881";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bitgum";"2722";"Menameradiel";"GM1908";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bitgummole";"2723";"Menameradiel";"GM1908";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bladel";"1064";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Blankenham";"2695";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Blaricum";"2828";"Blaricum";"GM0376";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Blauwestad";"3509";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Blauwhuis";"2401";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bleiswijk";"1689";"Lansingerland";"GM1621";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Blesdijke";"1720";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bleskensgraaf ca";"1980";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"De Blesse";"1722";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Blessum";"2725";"Menameradiel";"GM1908";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Blije";"3199";"Ferwerderadiel";"GM1722";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Blijham";"2232";"Bellingwedde";"GM0007";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Blitterswijck";"1856";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bloemendaal";"2654";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Blokker";"3613";"Hoorn";"GM0405";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Blokzijl";"2696";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Boazum";"2011";"Littenseradiel";"GM0140";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bocholtz";"3066";"Simpelveld";"GM0965";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bodegraven";"2665";"Bodegraven-Reeuwijk";"GM1901";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Boekel";"3138";"Boekel";"GM0755";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Boelenslaan";"3174";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Boer";"1371";"Franekeradeel";"GM0070";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ten Boer";"1829";"Ten Boer";"GM0009";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Boerakker";"2339";"Leek";"GM0022";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Boerakker";"2259";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Boesingheliede";"1615";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Boijl";"1721";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Boksum";"2726";"Menameradiel";"GM1908";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bolsward";"2079";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Den Bommel";"2132";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bontebok";"2193";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
